,userid,courseid,formatted agreed mark,actual grade,faculty
0,64,109,68.5,B,Faculty of Computer Science & Information Technology
1,65,109,66.5,B,Faculty of Computer Science & Information Technology
2,66,109,76.6,A-,Faculty of Computer Science & Information Technology
3,67,109,87.5,A,Faculty of Computer Science & Information Technology
4,68,109,91.0,A+,Faculty of Computer Science & Information Technology
5,69,109,85.25,A,Faculty of Computer Science & Information Technology
6,70,109,0.0,W1,Faculty of Computer Science & Information Technology
7,3072,109,75.5,A-,Faculty of Computer Science & Information Technology
8,3073,109,65.5,B,Faculty of Computer Science & Information Technology
9,3083,109,73.8,B+,Faculty of Computer Science & Information Technology
10,3084,109,89.55,A+,Faculty of Computer Science & Information Technology
11,3253,109,75.5,A-,Faculty of Computer Science & Information Technology
12,3255,109,76.9,A-,Faculty of Computer Science & Information Technology
13,3256,109,71.4,B+,Faculty of Computer Science & Information Technology
14,3257,109,71.4,B+,Faculty of Computer Science & Information Technology
15,3258,109,83.8,A,Faculty of Computer Science & Information Technology
16,3269,109,0.0,F,Faculty of Computer Science & Information Technology
17,3279,109,74.9,A-,Faculty of Computer Science & Information Technology
18,3280,109,83.1,A,Faculty of Computer Science & Information Technology
19,3281,109,96.1,A+,Faculty of Computer Science & Information Technology
20,3282,109,87.5,A,Faculty of Computer Science & Information Technology
21,3283,109,83.5,A,Faculty of Computer Science & Information Technology
22,3284,109,81.5,A,Faculty of Computer Science & Information Technology
23,3285,109,69.95,B+,Faculty of Computer Science & Information Technology
24,3286,109,70.5,B+,Faculty of Computer Science & Information Technology
25,3287,109,63.2,B-,Faculty of Computer Science & Information Technology
26,3288,109,81.1,A,Faculty of Computer Science & Information Technology
27,3289,109,85.0,A,Faculty of Computer Science & Information Technology
28,3290,109,87.75,A,Faculty of Computer Science & Information Technology
29,3291,109,63.0,B-,Faculty of Computer Science & Information Technology
30,3292,109,80.5,A,Faculty of Computer Science & Information Technology
31,3293,109,80.2,A,Faculty of Computer Science & Information Technology
32,3294,109,80.8,A,Faculty of Computer Science & Information Technology
33,3295,109,86.6,A,Faculty of Computer Science & Information Technology
34,3296,109,93.6,A+,Faculty of Computer Science & Information Technology
35,3297,109,72.9,B+,Faculty of Computer Science & Information Technology
36,3298,109,72.7,B+,Faculty of Computer Science & Information Technology
37,3300,109,79.7,A,Faculty of Computer Science & Information Technology
38,3301,109,95.8,A+,Faculty of Computer Science & Information Technology
39,3302,109,85.9,A,Faculty of Computer Science & Information Technology
40,3303,109,71.2,B+,Faculty of Computer Science & Information Technology
41,3304,109,91.15,A+,Faculty of Computer Science & Information Technology
42,3305,109,80.8,A,Faculty of Computer Science & Information Technology
43,3306,109,86.95,A,Faculty of Computer Science & Information Technology
44,3307,109,74.7,A-,Faculty of Computer Science & Information Technology
45,3308,109,74.65,A-,Faculty of Computer Science & Information Technology
46,3309,109,85.5,A,Faculty of Computer Science & Information Technology
47,3310,109,80.8,A,Faculty of Computer Science & Information Technology
48,3311,109,71.5,B+,Faculty of Computer Science & Information Technology
49,3312,109,90.4,A+,Faculty of Computer Science & Information Technology
50,3313,109,96.6,A+,Faculty of Computer Science & Information Technology
51,3314,109,90.2,A+,Faculty of Computer Science & Information Technology
52,3315,109,76.3,A-,Faculty of Computer Science & Information Technology
53,3316,109,82.6,A,Faculty of Computer Science & Information Technology
54,3317,109,71.5,B+,Faculty of Computer Science & Information Technology
55,3318,109,90.5,A+,Faculty of Computer Science & Information Technology
56,3319,109,66.9,B,Faculty of Computer Science & Information Technology
57,3320,109,81.9,A,Faculty of Computer Science & Information Technology
58,3321,109,90.25,A+,Faculty of Computer Science & Information Technology
59,3322,109,65.7,B,Faculty of Computer Science & Information Technology
60,3323,109,96.6,A+,Faculty of Computer Science & Information Technology
61,3324,109,92.2,A+,Faculty of Computer Science & Information Technology
62,3325,109,75.2,A-,Faculty of Computer Science & Information Technology
63,3326,109,72.4,B+,Faculty of Computer Science & Information Technology
64,3327,109,72.6,B+,Faculty of Computer Science & Information Technology
65,3328,109,96.1,A+,Faculty of Computer Science & Information Technology
66,3329,109,93.6,A+,Faculty of Computer Science & Information Technology
67,3330,109,79.6,A,Faculty of Computer Science & Information Technology
68,3331,109,72.0,B+,Faculty of Computer Science & Information Technology
69,3332,109,80.4,A,Faculty of Computer Science & Information Technology
70,3333,109,91.3,A+,Faculty of Computer Science & Information Technology
71,3334,109,90.4,A+,Faculty of Computer Science & Information Technology
72,3335,109,76.8,A-,Faculty of Computer Science & Information Technology
73,3336,109,68.45,B,Faculty of Computer Science & Information Technology
74,3337,109,89.7,A+,Faculty of Computer Science & Information Technology
75,3338,109,58.25,C+,Faculty of Computer Science & Information Technology
76,3339,109,82.0,A,Faculty of Computer Science & Information Technology
77,3341,109,75.0,A-,Faculty of Computer Science & Information Technology
78,3365,109,79.9,A,Faculty of Computer Science & Information Technology
79,3390,109,80.65,A,Faculty of Computer Science & Information Technology
80,3421,109,92.0,A+,Faculty of Computer Science & Information Technology
81,3643,109,26.5,F,Faculty of Computer Science & Information Technology
82,3644,109,80.0,A,Faculty of Computer Science & Information Technology
83,16261,109,0.0,F,Faculty of Computer Science & Information Technology
84,16272,109,81.5,A,Faculty of Computer Science & Information Technology
85,16273,109,87.25,A,Faculty of Computer Science & Information Technology
86,18159,109,71.5,B+,Faculty of Computer Science & Information Technology
87,18160,109,80.65,A,Faculty of Computer Science & Information Technology
88,18161,109,82.1,A,Faculty of Computer Science & Information Technology
89,18162,109,90.0,A+,Faculty of Computer Science & Information Technology
90,18163,109,86.45,A,Faculty of Computer Science & Information Technology
91,18164,109,87.45,A,Faculty of Computer Science & Information Technology
92,18776,109,64.8,B,Faculty of Computer Science & Information Technology
93,19756,109,72.9,B+,Faculty of Computer Science & Information Technology
94,20925,109,84.6,A,Faculty of Computer Science & Information Technology
95,24290,109,89.3,A,Faculty of Computer Science & Information Technology
96,24348,109,90.5,A+,Faculty of Computer Science & Information Technology
97,24350,109,84.3,A,Faculty of Computer Science & Information Technology
98,24556,109,69.8,B+,Faculty of Computer Science & Information Technology
99,24567,109,72.3,B+,Faculty of Computer Science & Information Technology
100,24640,109,90.45,A+,Faculty of Computer Science & Information Technology
101,24641,109,95.15,A+,Faculty of Computer Science & Information Technology
102,24642,109,89.1,A,Faculty of Computer Science & Information Technology
103,24643,109,90.1,A+,Faculty of Computer Science & Information Technology
104,24644,109,90.95,A+,Faculty of Computer Science & Information Technology
105,24645,109,89.0,A,Faculty of Computer Science & Information Technology
106,24646,109,83.4,A,Faculty of Computer Science & Information Technology
107,24647,109,85.7,A,Faculty of Computer Science & Information Technology
108,24648,109,85.7,A,Faculty of Computer Science & Information Technology
109,24649,109,80.7,A,Faculty of Computer Science & Information Technology
110,24650,109,79.1,A-,Faculty of Computer Science & Information Technology
111,24651,109,81.95,A,Faculty of Computer Science & Information Technology
112,24652,109,81.65,A,Faculty of Computer Science & Information Technology
113,64,4547,62.0,B-,Faculty of Computer Science & Information Technology
114,65,4547,50.5,C,Faculty of Computer Science & Information Technology
115,3073,4547,52.0,C,Faculty of Computer Science & Information Technology
116,3254,4547,66.0,B,Faculty of Computer Science & Information Technology
117,3255,4547,58.0,C+,Faculty of Computer Science & Information Technology
118,3256,4547,79.5,A,Faculty of Computer Science & Information Technology
119,3257,4547,68.8,B,Faculty of Computer Science & Information Technology
120,3258,4547,65.5,B,Faculty of Computer Science & Information Technology
121,3273,4547,64.5,B,Faculty of Computer Science & Information Technology
122,3279,4547,70.5,B+,Faculty of Computer Science & Information Technology
123,3280,4547,75.5,A-,Faculty of Computer Science & Information Technology
124,3287,4547,57.0,C+,Faculty of Computer Science & Information Technology
125,3291,4547,52.5,C,Faculty of Computer Science & Information Technology
126,3293,4547,64.5,B,Faculty of Computer Science & Information Technology
127,3294,4547,60.0,B-,Faculty of Computer Science & Information Technology
128,3295,4547,55.5,C+,Faculty of Computer Science & Information Technology
129,3296,4547,74.5,A-,Faculty of Computer Science & Information Technology
130,3297,4547,81.0,A,Faculty of Computer Science & Information Technology
131,3302,4547,83.0,A,Faculty of Computer Science & Information Technology
132,3305,4547,75.5,A-,Faculty of Computer Science & Information Technology
133,3307,4547,77.5,A-,Faculty of Computer Science & Information Technology
134,3308,4547,79.0,A-,Faculty of Computer Science & Information Technology
135,3310,4547,77.0,A-,Faculty of Computer Science & Information Technology
136,3315,4547,71.5,B+,Faculty of Computer Science & Information Technology
137,3317,4547,66.5,B,Faculty of Computer Science & Information Technology
138,3319,4547,73.5,B+,Faculty of Computer Science & Information Technology
139,3322,4547,66.5,B,Faculty of Computer Science & Information Technology
140,3326,4547,78.5,A-,Faculty of Computer Science & Information Technology
141,3328,4547,85.5,A,Faculty of Computer Science & Information Technology
142,3329,4547,80.0,A,Faculty of Computer Science & Information Technology
143,3331,4547,68.5,B,Faculty of Computer Science & Information Technology
144,3333,4547,67.5,B,Faculty of Computer Science & Information Technology
145,3335,4547,70.0,B+,Faculty of Computer Science & Information Technology
146,3336,4547,74.5,A-,Faculty of Computer Science & Information Technology
147,3337,4547,71.5,B+,Faculty of Computer Science & Information Technology
148,3340,4547,70.5,B+,Faculty of Computer Science & Information Technology
149,3365,4547,38.7,D,Faculty of Computer Science & Information Technology
150,3395,4547,56.0,C+,Faculty of Computer Science & Information Technology
151,3396,4547,58.5,C+,Faculty of Computer Science & Information Technology
152,16261,4547,25.5,F,Faculty of Computer Science & Information Technology
153,18161,4547,64.5,B,Faculty of Computer Science & Information Technology
154,18459,4547,29.0,F,Faculty of Computer Science & Information Technology
155,18776,4547,83.5,A,Faculty of Computer Science & Information Technology
156,19756,4547,62.0,B-,Faculty of Computer Science & Information Technology
157,24351,4547,53.0,C,Faculty of Computer Science & Information Technology
158,24646,4547,78.0,A-,Faculty of Computer Science & Information Technology
159,24647,4547,72.5,B+,Faculty of Computer Science & Information Technology
160,24648,4547,86.5,A,Faculty of Computer Science & Information Technology
161,24649,4547,84.0,A,Faculty of Computer Science & Information Technology
162,24650,4547,76.5,A-,Faculty of Computer Science & Information Technology
163,24651,4547,70.5,B+,Faculty of Computer Science & Information Technology
164,24652,4547,90.5,A+,Faculty of Computer Science & Information Technology
165,64,4548,63.5,B-,Faculty of Computer Science & Information Technology
166,65,4548,54.5,C+,Faculty of Computer Science & Information Technology
167,3073,4548,53.9,C,Faculty of Computer Science & Information Technology
168,3254,4548,64.3,B-,Faculty of Computer Science & Information Technology
169,3256,4548,75.9,A-,Faculty of Computer Science & Information Technology
170,3257,4548,55.7,C+,Faculty of Computer Science & Information Technology
171,3258,4548,58.4,C+,Faculty of Computer Science & Information Technology
172,3279,4548,63.2,B-,Faculty of Computer Science & Information Technology
173,3280,4548,73.5,B+,Faculty of Computer Science & Information Technology
174,3287,4548,57.9,C+,Faculty of Computer Science & Information Technology
175,3291,4548,57.0,C+,Faculty of Computer Science & Information Technology
176,3293,4548,59.9,B-,Faculty of Computer Science & Information Technology
177,3295,4548,74.5,A-,Faculty of Computer Science & Information Technology
178,3296,4548,71.5,B+,Faculty of Computer Science & Information Technology
179,3297,4548,66.8,B,Faculty of Computer Science & Information Technology
180,3302,4548,66.4,B,Faculty of Computer Science & Information Technology
181,3305,4548,55.8,C+,Faculty of Computer Science & Information Technology
182,3307,4548,74.4,B+,Faculty of Computer Science & Information Technology
183,3308,4548,53.2,C,Faculty of Computer Science & Information Technology
184,3310,4548,78.1,A-,Faculty of Computer Science & Information Technology
185,3315,4548,74.6,A-,Faculty of Computer Science & Information Technology
186,3317,4548,63.1,B-,Faculty of Computer Science & Information Technology
187,3319,4548,71.8,B+,Faculty of Computer Science & Information Technology
188,3326,4548,59.5,B-,Faculty of Computer Science & Information Technology
189,3328,4548,84.3,A,Faculty of Computer Science & Information Technology
190,3329,4548,74.0,B+,Faculty of Computer Science & Information Technology
191,3331,4548,59.3,C+,Faculty of Computer Science & Information Technology
192,3333,4548,74.4,B+,Faculty of Computer Science & Information Technology
193,3335,4548,74.1,B+,Faculty of Computer Science & Information Technology
194,3336,4548,80.0,A,Faculty of Computer Science & Information Technology
195,3337,4548,61.5,B-,Faculty of Computer Science & Information Technology
196,3340,4548,63.0,B-,Faculty of Computer Science & Information Technology
197,3365,4548,53.5,C,Faculty of Computer Science & Information Technology
198,3395,4548,62.3,B-,Faculty of Computer Science & Information Technology
199,3396,4548,55.0,C+,Faculty of Computer Science & Information Technology
200,3408,4548,63.3,B-,Faculty of Computer Science & Information Technology
201,3433,4548,65.7,B,Faculty of Computer Science & Information Technology
202,3435,4548,66.6,B,Faculty of Computer Science & Information Technology
203,3438,4548,73.6,B+,Faculty of Computer Science & Information Technology
204,3444,4548,74.4,B+,Faculty of Computer Science & Information Technology
205,3447,4548,72.9,B+,Faculty of Computer Science & Information Technology
206,3450,4548,74.0,B+,Faculty of Computer Science & Information Technology
207,3452,4548,75.6,A-,Faculty of Computer Science & Information Technology
208,3460,4548,69.3,B,Faculty of Computer Science & Information Technology
209,3536,4548,76.4,A-,Faculty of Computer Science & Information Technology
210,16261,4548,37.4,D,Faculty of Computer Science & Information Technology
211,16380,4548,59.6,B-,Faculty of Computer Science & Information Technology
212,16405,4548,54.4,C,Faculty of Computer Science & Information Technology
213,18161,4548,54.5,C+,Faculty of Computer Science & Information Technology
214,18776,4548,65.5,B,Faculty of Computer Science & Information Technology
215,19756,4548,60.4,B-,Faculty of Computer Science & Information Technology
216,24351,4548,67.1,B,Faculty of Computer Science & Information Technology
217,24646,4548,69.5,B+,Faculty of Computer Science & Information Technology
218,24647,4548,77.5,A-,Faculty of Computer Science & Information Technology
219,24648,4548,79.7,A,Faculty of Computer Science & Information Technology
220,24649,4548,82.1,A,Faculty of Computer Science & Information Technology
221,24650,4548,63.7,B-,Faculty of Computer Science & Information Technology
222,24651,4548,76.4,A-,Faculty of Computer Science & Information Technology
223,24652,4548,71.8,B+,Faculty of Computer Science & Information Technology
224,64,4549,46.1,C-,Faculty of Computer Science & Information Technology
225,65,4549,38.1,D,Faculty of Computer Science & Information Technology
226,3254,4549,49.6,C,Faculty of Computer Science & Information Technology
227,3255,4549,59.1,C+,Faculty of Computer Science & Information Technology
228,3256,4549,50.1,C,Faculty of Computer Science & Information Technology
229,3280,4549,58.1,C+,Faculty of Computer Science & Information Technology
230,3287,4549,41.3,D+,Faculty of Computer Science & Information Technology
231,3291,4549,36.3,D,Faculty of Computer Science & Information Technology
232,3293,4549,50.1,C,Faculty of Computer Science & Information Technology
233,3294,4549,50.3,C,Faculty of Computer Science & Information Technology
234,3295,4549,39.7,D+,Faculty of Computer Science & Information Technology
235,3296,4549,61.5,B-,Faculty of Computer Science & Information Technology
236,3297,4549,57.3,C+,Faculty of Computer Science & Information Technology
237,3302,4549,39.2,D,Faculty of Computer Science & Information Technology
238,3305,4549,42.5,D+,Faculty of Computer Science & Information Technology
239,3307,4549,49.6,C,Faculty of Computer Science & Information Technology
240,3310,4549,49.5,C,Faculty of Computer Science & Information Technology
241,3315,4549,36.6,D,Faculty of Computer Science & Information Technology
242,3317,4549,65.3,B,Faculty of Computer Science & Information Technology
243,3322,4549,49.6,C,Faculty of Computer Science & Information Technology
244,3326,4549,50.0,C,Faculty of Computer Science & Information Technology
245,3328,4549,80.0,A,Faculty of Computer Science & Information Technology
246,3329,4549,79.6,A,Faculty of Computer Science & Information Technology
247,3331,4549,45.0,C-,Faculty of Computer Science & Information Technology
248,3335,4549,54.5,C+,Faculty of Computer Science & Information Technology
249,3336,4549,61.1,B-,Faculty of Computer Science & Information Technology
250,3337,4549,49.5,C,Faculty of Computer Science & Information Technology
251,3341,4549,43.0,D+,Faculty of Computer Science & Information Technology
252,3365,4549,28.1,F,Faculty of Computer Science & Information Technology
253,3395,4549,43.6,D+,Faculty of Computer Science & Information Technology
254,3396,4549,38.7,D,Faculty of Computer Science & Information Technology
255,18161,4549,68.0,B,Faculty of Computer Science & Information Technology
256,18776,4549,53.1,C,Faculty of Computer Science & Information Technology
257,19756,4549,54.5,C+,Faculty of Computer Science & Information Technology
258,24351,4549,40.5,D+,Faculty of Computer Science & Information Technology
259,24646,4549,52.1,C,Faculty of Computer Science & Information Technology
260,24647,4549,55.5,C+,Faculty of Computer Science & Information Technology
261,24648,4549,71.5,B+,Faculty of Computer Science & Information Technology
262,24649,4549,75.1,A-,Faculty of Computer Science & Information Technology
263,24650,4549,42.6,D+,Faculty of Computer Science & Information Technology
264,24651,4549,49.6,C,Faculty of Computer Science & Information Technology
265,24652,4549,62.5,B-,Faculty of Computer Science & Information Technology
266,64,3239,57.8,C+,Faculty of Computer Science & Information Technology
267,65,3239,57.3,C+,Faculty of Computer Science & Information Technology
268,3073,3239,50.0,C,Faculty of Computer Science & Information Technology
269,3254,3239,57.8,C+,Faculty of Computer Science & Information Technology
270,3255,3239,42.0,D+,Faculty of Computer Science & Information Technology
271,3257,3239,36.7,D,Faculty of Computer Science & Information Technology
272,3258,3239,55.0,C+,Faculty of Computer Science & Information Technology
273,3269,3239,0.0,F,Faculty of Computer Science & Information Technology
274,3273,3239,56.7,C+,Faculty of Computer Science & Information Technology
275,3279,3239,54.0,C,Faculty of Computer Science & Information Technology
276,3287,3239,52.3,C,Faculty of Computer Science & Information Technology
277,3291,3239,41.5,D+,Faculty of Computer Science & Information Technology
278,3293,3239,55.2,C+,Faculty of Computer Science & Information Technology
279,3294,3239,72.5,B+,Faculty of Computer Science & Information Technology
280,3295,3239,51.7,C,Faculty of Computer Science & Information Technology
281,3296,3239,82.0,A,Faculty of Computer Science & Information Technology
282,3297,3239,69.2,B,Faculty of Computer Science & Information Technology
283,3302,3239,71.7,B+,Faculty of Computer Science & Information Technology
284,3305,3239,61.5,B-,Faculty of Computer Science & Information Technology
285,3307,3239,50.0,C,Faculty of Computer Science & Information Technology
286,3308,3239,55.2,C+,Faculty of Computer Science & Information Technology
287,3310,3239,66.8,B,Faculty of Computer Science & Information Technology
288,3315,3239,51.7,C,Faculty of Computer Science & Information Technology
289,3317,3239,55.2,C+,Faculty of Computer Science & Information Technology
290,3319,3239,60.0,B-,Faculty of Computer Science & Information Technology
291,3322,3239,40.0,D+,Faculty of Computer Science & Information Technology
292,3326,3239,70.2,B+,Faculty of Computer Science & Information Technology
293,3328,3239,83.0,A,Faculty of Computer Science & Information Technology
294,3329,3239,75.2,A-,Faculty of Computer Science & Information Technology
295,3331,3239,61.7,B-,Faculty of Computer Science & Information Technology
296,3333,3239,61.7,B-,Faculty of Computer Science & Information Technology
297,3335,3239,65.8,B,Faculty of Computer Science & Information Technology
298,3336,3239,77.3,A-,Faculty of Computer Science & Information Technology
299,3337,3239,66.5,B,Faculty of Computer Science & Information Technology
300,3340,3239,51.8,C,Faculty of Computer Science & Information Technology
301,3444,3239,66.8,B,Faculty of Computer Science & Information Technology
302,3450,3239,76.6,A-,Faculty of Computer Science & Information Technology
303,3452,3239,72.2,B+,Faculty of Computer Science & Information Technology
304,16261,3239,42.0,D+,Faculty of Computer Science & Information Technology
305,18161,3239,52.0,C,Faculty of Computer Science & Information Technology
306,18776,3239,57.5,C+,Faculty of Computer Science & Information Technology
307,19756,3239,51.7,C,Faculty of Computer Science & Information Technology
308,24646,3239,68.3,B,Faculty of Computer Science & Information Technology
309,24647,3239,81.8,A,Faculty of Computer Science & Information Technology
310,24648,3239,81.7,A,Faculty of Computer Science & Information Technology
311,24649,3239,81.5,A,Faculty of Computer Science & Information Technology
312,24650,3239,52.2,C,Faculty of Computer Science & Information Technology
313,24651,3239,67.0,B,Faculty of Computer Science & Information Technology
314,24652,3239,71.5,B+,Faculty of Computer Science & Information Technology
315,64,4557,65.0,B,Faculty of Computer Science & Information Technology
316,65,4557,55.0,C+,Faculty of Computer Science & Information Technology
317,70,4557,0.0,W1,Faculty of Computer Science & Information Technology
318,3011,4557,46.0,C-,Faculty of Computer Science & Information Technology
319,3070,4557,62.0,B-,Faculty of Computer Science & Information Technology
320,3073,4557,80.0,A,Faculty of Computer Science & Information Technology
321,3237,4557,50.0,C,Faculty of Computer Science & Information Technology
322,3255,4557,81.0,A,Faculty of Computer Science & Information Technology
323,3257,4557,80.0,A,Faculty of Computer Science & Information Technology
324,3285,4557,75.0,A-,Faculty of Computer Science & Information Technology
325,3288,4557,82.0,A,Faculty of Computer Science & Information Technology
326,3293,4557,71.0,B+,Faculty of Computer Science & Information Technology
327,3294,4557,75.0,A-,Faculty of Computer Science & Information Technology
328,3296,4557,91.0,A+,Faculty of Computer Science & Information Technology
329,3297,4557,76.0,A-,Faculty of Computer Science & Information Technology
330,3300,4557,80.0,A,Faculty of Computer Science & Information Technology
331,3301,4557,90.0,A+,Faculty of Computer Science & Information Technology
332,3303,4557,81.0,A,Faculty of Computer Science & Information Technology
333,3308,4557,83.0,A,Faculty of Computer Science & Information Technology
334,3310,4557,80.0,A,Faculty of Computer Science & Information Technology
335,3311,4557,84.0,A,Faculty of Computer Science & Information Technology
336,3314,4557,91.0,A+,Faculty of Computer Science & Information Technology
337,3315,4557,80.0,A,Faculty of Computer Science & Information Technology
338,3316,4557,91.0,A+,Faculty of Computer Science & Information Technology
339,3317,4557,84.0,A,Faculty of Computer Science & Information Technology
340,3320,4557,75.0,A-,Faculty of Computer Science & Information Technology
341,3322,4557,71.0,B+,Faculty of Computer Science & Information Technology
342,3325,4557,75.0,A-,Faculty of Computer Science & Information Technology
343,3326,4557,75.0,A-,Faculty of Computer Science & Information Technology
344,3328,4557,94.0,A+,Faculty of Computer Science & Information Technology
345,3329,4557,88.0,A,Faculty of Computer Science & Information Technology
346,3330,4557,84.0,A,Faculty of Computer Science & Information Technology
347,3331,4557,71.0,B+,Faculty of Computer Science & Information Technology
348,3333,4557,75.0,A-,Faculty of Computer Science & Information Technology
349,3334,4557,70.0,B+,Faculty of Computer Science & Information Technology
350,3335,4557,82.0,A,Faculty of Computer Science & Information Technology
351,3336,4557,80.0,A,Faculty of Computer Science & Information Technology
352,3337,4557,76.0,A-,Faculty of Computer Science & Information Technology
353,3338,4557,65.0,B,Faculty of Computer Science & Information Technology
354,3339,4557,65.0,B,Faculty of Computer Science & Information Technology
355,3377,4557,80.0,A,Faculty of Computer Science & Information Technology
356,3385,4557,82.0,A,Faculty of Computer Science & Information Technology
357,3386,4557,76.0,A-,Faculty of Computer Science & Information Technology
358,3421,4557,86.0,A,Faculty of Computer Science & Information Technology
359,3605,4557,70.0,B+,Faculty of Computer Science & Information Technology
360,3643,4557,75.0,A-,Faculty of Computer Science & Information Technology
361,16262,4557,70.0,B+,Faculty of Computer Science & Information Technology
362,16273,4557,76.0,A-,Faculty of Computer Science & Information Technology
363,16460,4557,70.0,B+,Faculty of Computer Science & Information Technology
364,18159,4557,75.0,A-,Faculty of Computer Science & Information Technology
365,18161,4557,70.0,B+,Faculty of Computer Science & Information Technology
366,18164,4557,76.0,A-,Faculty of Computer Science & Information Technology
367,18454,4557,65.0,B,Faculty of Computer Science & Information Technology
368,18776,4557,85.0,A,Faculty of Computer Science & Information Technology
369,18777,4557,85.0,A,Faculty of Computer Science & Information Technology
370,19756,4557,70.0,B+,Faculty of Computer Science & Information Technology
371,20916,4557,70.0,B+,Faculty of Computer Science & Information Technology
372,20925,4557,82.0,A,Faculty of Computer Science & Information Technology
373,24647,4557,76.0,A-,Faculty of Computer Science & Information Technology
374,24648,4557,80.0,A,Faculty of Computer Science & Information Technology
375,24649,4557,80.0,A,Faculty of Computer Science & Information Technology
376,24652,4557,85.0,A,Faculty of Computer Science & Information Technology
377,66,1925,67.3,B,Faculty of Languages and Linguistics
378,1948,1925,64.5,B,Faculty of Languages and Linguistics
379,2410,1925,58.9,C+,Faculty of Languages and Linguistics
380,2777,1925,85.0,A,Faculty of Languages and Linguistics
381,2779,1925,83.6,A,Faculty of Languages and Linguistics
382,2783,1925,73.1,B+,Faculty of Languages and Linguistics
383,2784,1925,74.7,A-,Faculty of Languages and Linguistics
384,2786,1925,72.4,B+,Faculty of Languages and Linguistics
385,2789,1925,76.1,A-,Faculty of Languages and Linguistics
386,2791,1925,63.9,B-,Faculty of Languages and Linguistics
387,2794,1925,75.7,A-,Faculty of Languages and Linguistics
388,2797,1925,83.9,A,Faculty of Languages and Linguistics
389,2798,1925,75.7,A-,Faculty of Languages and Linguistics
390,2802,1925,70.6,B+,Faculty of Languages and Linguistics
391,2803,1925,78.3,A-,Faculty of Languages and Linguistics
392,2804,1925,77.2,A-,Faculty of Languages and Linguistics
393,2806,1925,66.5,B,Faculty of Languages and Linguistics
394,2807,1925,76.7,A-,Faculty of Languages and Linguistics
395,2808,1925,73.2,B+,Faculty of Languages and Linguistics
396,2813,1925,73.8,B+,Faculty of Languages and Linguistics
397,2815,1925,72.7,B+,Faculty of Languages and Linguistics
398,2817,1925,61.0,B-,Faculty of Languages and Linguistics
399,2818,1925,79.7,A,Faculty of Languages and Linguistics
400,2819,1925,67.5,B,Faculty of Languages and Linguistics
401,2913,1925,61.4,B-,Faculty of Languages and Linguistics
402,3337,1925,74.5,A-,Faculty of Languages and Linguistics
403,3468,1925,73.8,B+,Faculty of Languages and Linguistics
404,3554,1925,70.5,B+,Faculty of Languages and Linguistics
405,3561,1925,67.7,B,Faculty of Languages and Linguistics
406,3569,1925,72.2,B+,Faculty of Languages and Linguistics
407,4450,1925,67.4,B,Faculty of Languages and Linguistics
408,4451,1925,76.5,A-,Faculty of Languages and Linguistics
409,4776,1925,72.0,B+,Faculty of Languages and Linguistics
410,4781,1925,81.2,A,Faculty of Languages and Linguistics
411,4782,1925,66.4,B,Faculty of Languages and Linguistics
412,4786,1925,70.3,B+,Faculty of Languages and Linguistics
413,4788,1925,73.9,B+,Faculty of Languages and Linguistics
414,4791,1925,77.1,A-,Faculty of Languages and Linguistics
415,4792,1925,66.5,B,Faculty of Languages and Linguistics
416,4794,1925,78.5,A-,Faculty of Languages and Linguistics
417,4795,1925,73.3,B+,Faculty of Languages and Linguistics
418,4798,1925,79.6,A,Faculty of Languages and Linguistics
419,4800,1925,72.4,B+,Faculty of Languages and Linguistics
420,4801,1925,70.9,B+,Faculty of Languages and Linguistics
421,4803,1925,56.5,C+,Faculty of Languages and Linguistics
422,4804,1925,71.7,B+,Faculty of Languages and Linguistics
423,4806,1925,75.4,A-,Faculty of Languages and Linguistics
424,4808,1925,66.9,B,Faculty of Languages and Linguistics
425,4810,1925,63.8,B-,Faculty of Languages and Linguistics
426,4812,1925,67.3,B,Faculty of Languages and Linguistics
427,4813,1925,82.7,A,Faculty of Languages and Linguistics
428,4814,1925,74.0,B+,Faculty of Languages and Linguistics
429,4816,1925,75.7,A-,Faculty of Languages and Linguistics
430,4817,1925,67.2,B,Faculty of Languages and Linguistics
431,4819,1925,76.4,A-,Faculty of Languages and Linguistics
432,4820,1925,77.9,A-,Faculty of Languages and Linguistics
433,4821,1925,69.6,B+,Faculty of Languages and Linguistics
434,4822,1925,70.4,B+,Faculty of Languages and Linguistics
435,4823,1925,74.4,B+,Faculty of Languages and Linguistics
436,4824,1925,69.8,B+,Faculty of Languages and Linguistics
437,4826,1925,74.9,A-,Faculty of Languages and Linguistics
438,4827,1925,73.6,B+,Faculty of Languages and Linguistics
439,4828,1925,72.2,B+,Faculty of Languages and Linguistics
440,4832,1925,66.3,B,Faculty of Languages and Linguistics
441,4833,1925,65.3,B,Faculty of Languages and Linguistics
442,4834,1925,73.0,B+,Faculty of Languages and Linguistics
443,4845,1925,72.5,B+,Faculty of Languages and Linguistics
444,4846,1925,71.9,B+,Faculty of Languages and Linguistics
445,4851,1925,81.1,A,Faculty of Languages and Linguistics
446,4854,1925,76.2,A-,Faculty of Languages and Linguistics
447,4856,1925,78.2,A-,Faculty of Languages and Linguistics
448,4860,1925,65.1,B,Faculty of Languages and Linguistics
449,4862,1925,65.0,B,Faculty of Languages and Linguistics
450,4866,1925,84.1,A,Faculty of Languages and Linguistics
